Model Number,Company,Display Size,Display Type,Display Protection Type,Total Storage,Storage Type,Total RAM,RAM Type,Processor,Battery Capacity,Front Camera MP,Front Dual Camera MP,Back Camera MP,Wide Camera MP,Micro Camera MP,Body Type,Body Back,Wireless Charging,NFC Support,Price (USD)
Samsung-8322,Samsung,6.1,OLED,Ion-strengthened glass,64,NVMe,4,LPDDR5,A15 Bionic,5500,8,8.0,12,8,5,Plastic,Plastic,True,False,882
OnePlus-4212,OnePlus,5.4,IPS LCD,Gorilla Glass,64,NVMe,6,LPDDR5,A15 Bionic,5000,8,16.0,108,8,12,Polycarbonate,Plastic,True,False,1083
Samsung-2628,Samsung,6.7,Liquid Retina,Ion-strengthened glass,512,NVMe,8,LPDDR5,A16 Bionic,5000,16,12.0,64,16,12,Metallic,Polycarbonate back,False,False,762
OnePlus-3154,OnePlus,6.7,OLED,Ceramic Shield,256,NVMe,12,LPDDR4X,A16 Bionic,6000,20,16.0,16,16,5,Metallic,Polycarbonate back,True,False,884
Xiaomi-3983,Xiaomi,6.5,IPS LCD,Ceramic Shield,128,NVMe,6,LPDDR4X,A17 Pro,4000,8,8.0,12,8,2,Polycarbonate,Leather back,False,False,578
OnePlus-2912,OnePlus,6.1,Super Retina XDR,Gorilla Glass,512,NVMe,6,LPDDR5,A17 Pro,4000,16,,108,20,12,Polycarbonate,Polycarbonate back,True,True,836
Xiaomi-8151,Xiaomi,7.0,IPS LCD,Gorilla Glass,512,UFS 3.1,12,LPDDR4X,A16 Bionic,6000,12,,12,12,8,Plastic,Leather back,False,False,417
Google-7008,Google,6.5,IPS LCD,Ion-strengthened glass,128,NVMe,6,LPDDR4X,A17 Pro,6000,16,,108,8,5,Metallic,Polycarbonate back,True,True,1346
Apple-1366,Apple,6.1,OLED,Gorilla Glass,128,UFS 3.1,8,LPDDR5,A16 Bionic,5500,20,8.0,108,8,5,Glass,Polycarbonate back,True,False,1452
Google-7574,Google,6.5,Super Retina XDR,Ion-strengthened glass,128,UFS 3.1,12,LPDDR4X,A16 Bionic,4000,12,16.0,12,12,8,Plastic,Polycarbonate back,False,False,1034
Samsung-5145,Samsung,6.7,Super Retina XDR,Gorilla Glass,256,UFS 3.1,6,LPDDR5,A13 Bionic,5000,8,12.0,108,20,12,Plastic,Glass back,False,False,861
Samsung-4456,Samsung,6.7,Liquid Retina,Scratch-resistant glass,64,NVMe,4,LPDDR5,A14 Bionic,4500,16,8.0,64,20,8,Plastic,Glass back,True,False,1757
Google-5567,Google,5.4,Liquid Retina,Ceramic Shield,64,NVMe,8,LPDDR4X,A13 Bionic,5500,12,8.0,64,8,5,Plastic,Leather back,True,True,1034
OnePlus-1578,OnePlus,5.4,Liquid Retina,Gorilla Glass,256,UFS 3.1,6,LPDDR5,A15 Bionic,4000,8,,16,16,2,Polycarbonate,Plastic,True,False,839
Samsung-9700,Samsung,5.4,OLED,Ion-strengthened glass,512,eMMC 5.1,4,LPDDR4X,A13 Bionic,6000,16,16.0,16,8,5,Plastic,Polycarbonate back,False,False,991
Xiaomi-8722,Xiaomi,6.5,IPS LCD,Ion-strengthened glass,512,NVMe,6,LPDDR4X,A14 Bionic,4000,8,8.0,48,20,5,Polycarbonate,Plastic,False,True,390
OnePlus-6510,OnePlus,7.0,Liquid Retina,Ion-strengthened glass,256,NVMe,4,LPDDR4X,A15 Bionic,4500,20,12.0,12,8,12,Metallic,Polycarbonate back,False,False,456
OnePlus-6691,OnePlus,6.5,Liquid Retina,Scratch-resistant glass,256,UFS 3.1,12,LPDDR4X,A13 Bionic,4500,20,12.0,12,8,12,Plastic,Glass back,False,False,439
Apple-5250,Apple,5.4,OLED,Gorilla Glass,512,eMMC 5.1,12,LPDDR5,A16 Bionic,6000,16,,16,20,5,Glass,Leather back,True,False,886
OnePlus-1430,OnePlus,6.7,OLED,Ceramic Shield,64,NVMe,12,LPDDR5,A14 Bionic,4500,12,8.0,16,16,8,Metallic,Plastic,False,True,867
OnePlus-6198,OnePlus,7.0,Super Retina XDR,Scratch-resistant glass,64,UFS 3.1,6,LPDDR4X,A17 Pro,4500,8,12.0,64,8,5,Polycarbonate,Polycarbonate back,True,False,883
Apple-9300,Apple,6.7,IPS LCD,Ion-strengthened glass,256,eMMC 5.1,8,LPDDR5,A16 Bionic,5000,8,8.0,16,20,5,Glass,Plastic,False,False,889
Apple-2342,Apple,5.4,IPS LCD,Scratch-resistant glass,128,NVMe,12,LPDDR5,A17 Pro,6000,12,16.0,108,12,8,Polycarbonate,Polycarbonate back,True,True,1328
OnePlus-7799,OnePlus,7.0,Super Retina XDR,Ion-strengthened glass,128,eMMC 5.1,12,LPDDR4X,A14 Bionic,4000,16,,64,8,5,Metallic,Polycarbonate back,True,False,918
Samsung-5733,Samsung,5.4,OLED,Ion-strengthened glass,128,eMMC 5.1,12,LPDDR5,A13 Bionic,5000,12,12.0,48,8,12,Plastic,Polycarbonate back,False,True,1029
OnePlus-3891,OnePlus,7.0,IPS LCD,Gorilla Glass,256,NVMe,12,LPDDR5,A13 Bionic,4000,8,16.0,64,20,2,Glass,Polycarbonate back,True,True,1041
OnePlus-6992,OnePlus,7.0,IPS LCD,Ion-strengthened glass,1024,UFS 3.1,4,LPDDR4X,A17 Pro,6000,12,8.0,64,8,5,Polycarbonate,Plastic,False,True,794
OnePlus-5877,OnePlus,7.0,Liquid Retina,Ceramic Shield,128,UFS 3.1,12,LPDDR4X,A15 Bionic,5000,12,16.0,108,12,2,Metallic,Leather back,False,True,708
Google-9447,Google,6.5,IPS LCD,Scratch-resistant glass,512,eMMC 5.1,6,LPDDR4X,A13 Bionic,4500,8,16.0,108,20,5,Metallic,Plastic,True,True,669
Samsung-2610,Samsung,6.5,Liquid Retina,Ceramic Shield,128,UFS 3.1,8,LPDDR4X,A16 Bionic,5500,8,8.0,48,16,8,Glass,Polycarbonate back,False,True,860
OnePlus-1498,OnePlus,5.4,OLED,Ceramic Shield,256,eMMC 5.1,6,LPDDR5,A15 Bionic,5000,8,,16,12,5,Plastic,Glass back,True,False,573
Google-5798,Google,6.7,OLED,Ceramic Shield,64,UFS 3.1,12,LPDDR4X,A13 Bionic,5000,16,16.0,64,20,5,Glass,Glass back,True,False,1330
Google-9233,Google,6.5,IPS LCD,Ion-strengthened glass,512,eMMC 5.1,8,LPDDR5,A16 Bionic,4000,12,12.0,12,16,8,Polycarbonate,Leather back,False,False,1010
Samsung-6313,Samsung,7.0,Super Retina XDR,Scratch-resistant glass,1024,UFS 3.1,6,LPDDR5,A17 Pro,4000,16,12.0,12,20,2,Plastic,Glass back,True,True,1370
Apple-5441,Apple,6.5,IPS LCD,Scratch-resistant glass,256,eMMC 5.1,6,LPDDR5,A13 Bionic,6000,16,,48,8,12,Metallic,Polycarbonate back,True,False,1329
Google-7791,Google,6.5,Super Retina XDR,Gorilla Glass,256,NVMe,8,LPDDR5,A13 Bionic,6000,8,,12,8,12,Metallic,Leather back,True,True,1362
Xiaomi-1546,Xiaomi,6.1,Liquid Retina,Scratch-resistant glass,256,NVMe,8,LPDDR5,A17 Pro,5000,12,16.0,64,12,5,Metallic,Polycarbonate back,False,True,839
OnePlus-1666,OnePlus,7.0,OLED,Scratch-resistant glass,256,NVMe,8,LPDDR4X,A15 Bionic,6000,8,12.0,48,8,8,Glass,Glass back,True,False,813
Xiaomi-9142,Xiaomi,5.4,Super Retina XDR,Ion-strengthened glass,1024,eMMC 5.1,4,LPDDR4X,A16 Bionic,4500,12,8.0,16,16,2,Plastic,Polycarbonate back,False,True,824
Google-6515,Google,7.0,OLED,Gorilla Glass,64,UFS 3.1,6,LPDDR4X,A16 Bionic,4500,16,8.0,64,12,12,Plastic,Polycarbonate back,True,False,833
OnePlus-3689,OnePlus,6.1,Liquid Retina,Gorilla Glass,128,eMMC 5.1,6,LPDDR5,A16 Bionic,4000,20,8.0,12,16,2,Plastic,Polycarbonate back,True,True,921
Xiaomi-6476,Xiaomi,6.1,Liquid Retina,Ceramic Shield,1024,UFS 3.1,6,LPDDR4X,A13 Bionic,5000,12,16.0,48,20,2,Glass,Leather back,True,True,378
Apple-6462,Apple,6.5,IPS LCD,Gorilla Glass,512,UFS 3.1,12,LPDDR5,A17 Pro,5000,20,,108,20,8,Polycarbonate,Plastic,True,True,1610
Xiaomi-5307,Xiaomi,6.1,OLED,Ceramic Shield,1024,UFS 3.1,6,LPDDR5,A13 Bionic,4500,16,12.0,108,8,2,Plastic,Glass back,False,False,299
OnePlus-5800,OnePlus,7.0,OLED,Gorilla Glass,1024,NVMe,8,LPDDR4X,A16 Bionic,4500,16,16.0,64,16,8,Plastic,Leather back,False,False,1043
Google-3676,Google,6.7,IPS LCD,Scratch-resistant glass,512,UFS 3.1,6,LPDDR4X,A15 Bionic,6000,8,,16,12,5,Glass,Leather back,True,True,860
Xiaomi-7248,Xiaomi,7.0,OLED,Ceramic Shield,64,NVMe,8,LPDDR5,A14 Bionic,5500,16,,64,20,8,Glass,Polycarbonate back,False,False,428
Xiaomi-2806,Xiaomi,7.0,OLED,Ceramic Shield,1024,NVMe,12,LPDDR4X,A17 Pro,4000,12,16.0,64,8,2,Polycarbonate,Plastic,False,False,915
Samsung-5967,Samsung,6.5,Liquid Retina,Ceramic Shield,64,UFS 3.1,8,LPDDR4X,A13 Bionic,4000,12,8.0,48,16,2,Plastic,Plastic,False,False,922
Google-5042,Google,6.1,IPS LCD,Gorilla Glass,512,NVMe,4,LPDDR5,A16 Bionic,4500,16,12.0,16,16,8,Polycarbonate,Polycarbonate back,False,True,1110
Google-8032,Google,6.1,OLED,Ion-strengthened glass,512,eMMC 5.1,8,LPDDR4X,A16 Bionic,6000,20,8.0,16,12,2,Polycarbonate,Leather back,True,False,1408
Samsung-4140,Samsung,6.1,OLED,Ion-strengthened glass,512,NVMe,4,LPDDR4X,A13 Bionic,4500,16,,12,12,2,Polycarbonate,Leather back,True,True,592
Samsung-7166,Samsung,7.0,IPS LCD,Gorilla Glass,128,eMMC 5.1,4,LPDDR5,A16 Bionic,6000,16,8.0,12,12,8,Polycarbonate,Plastic,False,True,806
Xiaomi-4938,Xiaomi,7.0,Super Retina XDR,Ion-strengthened glass,128,UFS 3.1,8,LPDDR5,A16 Bionic,4500,20,,64,12,2,Polycarbonate,Glass back,True,False,225
Google-7731,Google,7.0,Super Retina XDR,Ceramic Shield,128,eMMC 5.1,8,LPDDR5,A17 Pro,4500,20,,64,8,12,Polycarbonate,Polycarbonate back,False,True,1090
Google-4081,Google,6.7,Liquid Retina,Ion-strengthened glass,64,eMMC 5.1,4,LPDDR4X,A17 Pro,4000,20,16.0,108,12,2,Plastic,Glass back,False,False,644
Google-5240,Google,6.5,Super Retina XDR,Gorilla Glass,512,NVMe,4,LPDDR4X,A15 Bionic,4500,12,,16,16,8,Glass,Plastic,True,False,1249
OnePlus-9984,OnePlus,6.5,IPS LCD,Ceramic Shield,128,NVMe,6,LPDDR4X,A16 Bionic,4000,8,12.0,108,16,2,Metallic,Leather back,False,False,675
Xiaomi-9451,Xiaomi,6.5,Super Retina XDR,Scratch-resistant glass,256,eMMC 5.1,4,LPDDR5,A14 Bionic,5000,20,8.0,16,12,5,Plastic,Plastic,True,False,968
Samsung-8261,Samsung,6.5,IPS LCD,Scratch-resistant glass,128,eMMC 5.1,6,LPDDR5,A16 Bionic,6000,20,12.0,108,20,5,Glass,Glass back,False,False,992
Apple-3862,Apple,7.0,Super Retina XDR,Ceramic Shield,512,eMMC 5.1,12,LPDDR5,A15 Bionic,5000,12,16.0,48,16,5,Polycarbonate,Plastic,False,False,1209
Xiaomi-3178,Xiaomi,6.7,OLED,Scratch-resistant glass,128,NVMe,6,LPDDR4X,A14 Bionic,4000,12,,12,20,5,Polycarbonate,Plastic,True,True,554
Samsung-2801,Samsung,5.4,IPS LCD,Scratch-resistant glass,1024,eMMC 5.1,8,LPDDR4X,A17 Pro,6000,12,16.0,12,16,5,Polycarbonate,Polycarbonate back,False,True,1253
Samsung-9127,Samsung,6.7,OLED,Ion-strengthened glass,1024,eMMC 5.1,6,LPDDR5,A16 Bionic,4000,16,16.0,64,12,5,Plastic,Plastic,True,False,690
Google-2773,Google,5.4,Liquid Retina,Scratch-resistant glass,512,eMMC 5.1,6,LPDDR4X,A15 Bionic,5000,20,,48,20,8,Plastic,Polycarbonate back,False,True,1059
Apple-9267,Apple,6.1,OLED,Scratch-resistant glass,128,UFS 3.1,8,LPDDR4X,A13 Bionic,4000,16,16.0,12,20,2,Polycarbonate,Plastic,True,False,1425
Samsung-5795,Samsung,7.0,OLED,Ceramic Shield,256,UFS 3.1,4,LPDDR4X,A17 Pro,5500,16,,108,12,2,Metallic,Leather back,True,True,741
OnePlus-4609,OnePlus,7.0,OLED,Scratch-resistant glass,256,NVMe,12,LPDDR5,A17 Pro,6000,8,8.0,48,20,2,Glass,Polycarbonate back,True,False,620
Samsung-3074,Samsung,6.1,OLED,Ceramic Shield,1024,NVMe,6,LPDDR4X,A15 Bionic,5000,8,12.0,48,12,8,Metallic,Polycarbonate back,False,True,678
Xiaomi-8057,Xiaomi,5.4,Super Retina XDR,Ion-strengthened glass,256,eMMC 5.1,12,LPDDR4X,A14 Bionic,5000,20,16.0,108,12,8,Metallic,Polycarbonate back,True,False,870
OnePlus-7762,OnePlus,6.1,Liquid Retina,Ion-strengthened glass,1024,NVMe,6,LPDDR5,A16 Bionic,5000,12,12.0,108,16,5,Plastic,Leather back,True,False,755
Apple-5527,Apple,6.1,OLED,Ion-strengthened glass,256,NVMe,8,LPDDR5,A16 Bionic,5000,16,16.0,16,8,8,Polycarbonate,Plastic,True,False,1284
OnePlus-8972,OnePlus,7.0,IPS LCD,Gorilla Glass,128,UFS 3.1,12,LPDDR5,A13 Bionic,4000,20,16.0,12,8,8,Glass,Plastic,True,False,1020
OnePlus-9229,OnePlus,5.4,OLED,Scratch-resistant glass,64,NVMe,4,LPDDR5,A13 Bionic,4500,20,16.0,16,16,2,Glass,Leather back,False,False,701
Samsung-5181,Samsung,6.7,Liquid Retina,Ceramic Shield,512,eMMC 5.1,8,LPDDR5,A13 Bionic,4500,16,8.0,48,16,2,Plastic,Glass back,True,False,679
Xiaomi-9054,Xiaomi,6.7,Liquid Retina,Ion-strengthened glass,64,UFS 3.1,12,LPDDR5,A16 Bionic,5000,8,,16,20,5,Glass,Leather back,False,False,453
OnePlus-6287,OnePlus,6.1,IPS LCD,Scratch-resistant glass,1024,eMMC 5.1,8,LPDDR4X,A16 Bionic,6000,12,,16,12,5,Polycarbonate,Leather back,False,False,909
Google-5110,Google,5.4,Liquid Retina,Scratch-resistant glass,64,NVMe,4,LPDDR4X,A17 Pro,6000,16,,12,20,12,Metallic,Plastic,True,True,960
Samsung-4069,Samsung,6.5,OLED,Ceramic Shield,512,UFS 3.1,6,LPDDR5,A16 Bionic,5000,16,12.0,12,8,5,Metallic,Leather back,False,True,516
Samsung-5167,Samsung,5.4,IPS LCD,Gorilla Glass,512,eMMC 5.1,6,LPDDR5,A13 Bionic,5500,16,12.0,64,20,5,Glass,Leather back,False,True,1412
Xiaomi-3109,Xiaomi,6.5,Super Retina XDR,Ceramic Shield,256,eMMC 5.1,4,LPDDR4X,A14 Bionic,4500,16,,64,12,12,Metallic,Plastic,True,True,558
Samsung-4082,Samsung,7.0,Liquid Retina,Ceramic Shield,512,NVMe,6,LPDDR4X,A16 Bionic,4500,8,,48,16,5,Glass,Plastic,True,True,1500
Apple-6113,Apple,7.0,OLED,Scratch-resistant glass,64,UFS 3.1,8,LPDDR5,A13 Bionic,5500,12,8.0,108,12,2,Plastic,Leather back,False,True,799
Google-5520,Google,6.1,OLED,Gorilla Glass,1024,NVMe,6,LPDDR5,A15 Bionic,4500,8,8.0,64,16,12,Polycarbonate,Leather back,True,False,1462
Samsung-9997,Samsung,6.1,IPS LCD,Scratch-resistant glass,1024,NVMe,12,LPDDR5,A16 Bionic,4000,8,8.0,12,8,5,Polycarbonate,Glass back,True,True,630
Xiaomi-9597,Xiaomi,6.7,Liquid Retina,Ion-strengthened glass,128,UFS 3.1,8,LPDDR5,A15 Bionic,5000,16,12.0,64,12,5,Glass,Plastic,True,False,406
Apple-8712,Apple,6.7,Super Retina XDR,Ceramic Shield,512,eMMC 5.1,6,LPDDR5,A15 Bionic,4500,12,12.0,48,20,12,Glass,Glass back,False,False,1903
OnePlus-8102,OnePlus,6.1,IPS LCD,Ion-strengthened glass,64,NVMe,6,LPDDR4X,A13 Bionic,4000,12,8.0,108,8,12,Plastic,Leather back,False,False,1089
Apple-9355,Apple,5.4,IPS LCD,Gorilla Glass,1024,UFS 3.1,12,LPDDR4X,A13 Bionic,4000,8,12.0,48,12,8,Glass,Polycarbonate back,True,False,763
OnePlus-2810,OnePlus,5.4,OLED,Ceramic Shield,256,UFS 3.1,12,LPDDR4X,A14 Bionic,4000,8,16.0,108,12,8,Metallic,Plastic,True,True,734
Samsung-6299,Samsung,6.1,IPS LCD,Ion-strengthened glass,64,NVMe,6,LPDDR4X,A14 Bionic,6000,8,12.0,108,12,2,Plastic,Polycarbonate back,False,False,930
Google-7481,Google,5.4,IPS LCD,Gorilla Glass,256,eMMC 5.1,6,LPDDR4X,A13 Bionic,4500,12,8.0,12,12,2,Plastic,Leather back,False,True,1249
OnePlus-6430,OnePlus,6.7,OLED,Gorilla Glass,512,NVMe,12,LPDDR5,A13 Bionic,4000,20,8.0,48,8,8,Plastic,Leather back,True,False,1187
Apple-1430,Apple,6.1,Liquid Retina,Scratch-resistant glass,256,eMMC 5.1,6,LPDDR5,A14 Bionic,5500,12,16.0,108,12,12,Plastic,Leather back,False,False,1905
Samsung-6488,Samsung,6.5,OLED,Gorilla Glass,256,NVMe,8,LPDDR4X,A15 Bionic,5500,16,12.0,108,16,5,Metallic,Leather back,False,False,1491
Apple-1943,Apple,7.0,Liquid Retina,Ceramic Shield,1024,eMMC 5.1,4,LPDDR5,A17 Pro,6000,16,16.0,108,8,12,Polycarbonate,Plastic,False,True,1049
Apple-6962,Apple,6.5,Liquid Retina,Gorilla Glass,512,eMMC 5.1,4,LPDDR5,A14 Bionic,5500,12,8.0,48,12,5,Glass,Glass back,True,False,1235
OnePlus-3376,OnePlus,7.0,OLED,Ion-strengthened glass,64,NVMe,8,LPDDR5,A14 Bionic,4000,20,,48,16,2,Metallic,Glass back,False,False,978
Google-5060,Google,6.5,Liquid Retina,Scratch-resistant glass,512,eMMC 5.1,8,LPDDR5,A13 Bionic,5500,20,8.0,48,12,12,Plastic,Glass back,True,True,712
OnePlus-5675,OnePlus,6.1,IPS LCD,Gorilla Glass,1024,NVMe,6,LPDDR5,A13 Bionic,5500,20,8.0,16,8,5,Metallic,Leather back,False,False,1189
Google-3140,Google,6.1,IPS LCD,Scratch-resistant glass,64,NVMe,6,LPDDR5,A13 Bionic,4500,20,8.0,16,20,2,Glass,Leather back,True,True,1111
OnePlus-8031,OnePlus,5.4,IPS LCD,Ceramic Shield,256,NVMe,6,LPDDR4X,A15 Bionic,6000,20,16.0,12,16,5,Plastic,Plastic,True,True,1186
OnePlus-4412,OnePlus,7.0,Super Retina XDR,Ion-strengthened glass,1024,UFS 3.1,4,LPDDR5,A17 Pro,4500,8,16.0,64,20,5,Glass,Glass back,True,False,661
Xiaomi-1301,Xiaomi,6.5,OLED,Gorilla Glass,256,eMMC 5.1,6,LPDDR5,A15 Bionic,5500,12,8.0,48,8,8,Glass,Plastic,True,True,289
Xiaomi-2255,Xiaomi,6.7,Liquid Retina,Ion-strengthened glass,64,NVMe,4,LPDDR5,A13 Bionic,5500,8,,12,12,2,Glass,Polycarbonate back,False,False,388
Samsung-4895,Samsung,7.0,Liquid Retina,Gorilla Glass,64,NVMe,8,LPDDR4X,A14 Bionic,5000,16,16.0,16,20,8,Metallic,Glass back,False,False,539
Samsung-1682,Samsung,7.0,Liquid Retina,Gorilla Glass,256,UFS 3.1,8,LPDDR5,A14 Bionic,5000,16,,16,20,12,Plastic,Plastic,True,True,732
Xiaomi-7745,Xiaomi,6.1,Liquid Retina,Ceramic Shield,128,UFS 3.1,12,LPDDR4X,A17 Pro,4500,12,,108,20,5,Metallic,Leather back,True,True,696
OnePlus-8763,OnePlus,7.0,OLED,Gorilla Glass,64,eMMC 5.1,6,LPDDR4X,A16 Bionic,6000,8,16.0,64,16,5,Polycarbonate,Leather back,False,False,989
Google-5168,Google,5.4,OLED,Ion-strengthened glass,1024,UFS 3.1,8,LPDDR5,A14 Bionic,6000,16,12.0,16,16,8,Glass,Polycarbonate back,True,True,716
Google-8195,Google,6.5,IPS LCD,Scratch-resistant glass,1024,NVMe,8,LPDDR5,A13 Bionic,4500,8,12.0,12,8,12,Glass,Polycarbonate back,True,True,752
Apple-6751,Apple,6.5,OLED,Ceramic Shield,64,UFS 3.1,12,LPDDR5,A16 Bionic,5500,12,16.0,48,12,12,Plastic,Plastic,True,False,1320
Samsung-9998,Samsung,6.7,OLED,Ion-strengthened glass,64,UFS 3.1,4,LPDDR5,A17 Pro,5000,16,,64,16,8,Metallic,Leather back,False,False,1563
OnePlus-9229,OnePlus,6.5,OLED,Ion-strengthened glass,256,NVMe,4,LPDDR5,A13 Bionic,4500,20,,16,12,5,Glass,Plastic,True,True,896
Samsung-3498,Samsung,6.7,Liquid Retina,Gorilla Glass,1024,UFS 3.1,8,LPDDR5,A15 Bionic,6000,8,12.0,12,12,5,Polycarbonate,Glass back,True,False,1713
Google-7014,Google,6.1,IPS LCD,Gorilla Glass,256,NVMe,12,LPDDR4X,A13 Bionic,5500,8,8.0,16,16,2,Metallic,Leather back,True,False,1327
Xiaomi-2249,Xiaomi,5.4,Super Retina XDR,Ion-strengthened glass,1024,UFS 3.1,12,LPDDR5,A17 Pro,5000,12,,108,20,5,Metallic,Glass back,False,True,445
Google-3683,Google,6.1,Super Retina XDR,Gorilla Glass,512,eMMC 5.1,4,LPDDR4X,A17 Pro,4500,20,8.0,16,12,2,Plastic,Plastic,True,True,755
Google-6957,Google,6.7,Liquid Retina,Ion-strengthened glass,1024,eMMC 5.1,6,LPDDR5,A16 Bionic,6000,12,,108,20,8,Plastic,Glass back,False,True,1423
Apple-7189,Apple,6.5,OLED,Scratch-resistant glass,1024,UFS 3.1,8,LPDDR5,A15 Bionic,5500,8,8.0,48,12,5,Plastic,Glass back,True,True,1689
Apple-3666,Apple,6.7,Super Retina XDR,Ceramic Shield,128,NVMe,4,LPDDR5,A14 Bionic,6000,20,12.0,108,20,12,Polycarbonate,Polycarbonate back,False,False,1630
Google-9735,Google,7.0,IPS LCD,Gorilla Glass,512,eMMC 5.1,6,LPDDR4X,A13 Bionic,5500,16,16.0,48,8,5,Glass,Glass back,True,True,775
OnePlus-3892,OnePlus,6.1,Liquid Retina,Ceramic Shield,128,NVMe,6,LPDDR4X,A17 Pro,6000,20,16.0,64,12,5,Metallic,Leather back,False,True,723
Xiaomi-4536,Xiaomi,6.5,IPS LCD,Ceramic Shield,1024,UFS 3.1,8,LPDDR5,A14 Bionic,5500,12,,12,8,2,Metallic,Plastic,True,True,794
