Model Number,Company,Display Size,Display Type,Display Protection Type,Total Storage,Storage Type,Total RAM,RAM Type,Processor,Battery Capacity,Front Camera MP,Front Dual Camera MP,Back Camera MP,Wide Camera MP,Micro Camera MP,Body Type,Body Back,Wireless Charging,NFC Support,Price (USD)
Apple-1969,Apple,6.1,IPS LCD,Gorilla Glass,128,UFS 3.1,12,LPDDR5,A17 Pro,4000,16,12.0,64,16,5,Polycarbonate,Plastic,False,True,1622
Google-4241,Google,6.1,Liquid Retina,Ion-strengthened glass,64,NVMe,8,LPDDR4X,A15 Bionic,6000,12,,48,8,2,Metallic,Leather back,False,False,1158
Samsung-7175,Samsung,6.7,OLED,Gorilla Glass,1024,eMMC 5.1,4,LPDDR4X,A13 Bionic,4500,20,12.0,64,12,8,Metallic,Glass back,False,False,574
Xiaomi-7167,Xiaomi,7.0,Liquid Retina,Ion-strengthened glass,1024,NVMe,12,LPDDR4X,A14 Bionic,4000,8,16.0,64,20,5,Metallic,Polycarbonate back,True,True,858
Xiaomi-9974,Xiaomi,7.0,Super Retina XDR,Scratch-resistant glass,512,NVMe,12,LPDDR5,A17 Pro,5500,16,8.0,16,12,12,Metallic,Plastic,True,False,766
Google-4043,Google,6.5,Super Retina XDR,Gorilla Glass,128,eMMC 5.1,6,LPDDR4X,A14 Bionic,5000,8,16.0,48,8,12,Plastic,Polycarbonate back,True,False,737
Apple-1481,Apple,7.0,Liquid Retina,Ion-strengthened glass,128,NVMe,12,LPDDR5,A16 Bionic,5000,20,,48,8,8,Plastic,Plastic,True,False,1112
OnePlus-1794,OnePlus,5.4,Super Retina XDR,Ceramic Shield,64,NVMe,4,LPDDR5,A15 Bionic,5500,12,8.0,64,16,2,Metallic,Leather back,False,False,555
Apple-5595,Apple,5.4,Super Retina XDR,Ceramic Shield,1024,eMMC 5.1,4,LPDDR4X,A14 Bionic,4000,16,8.0,16,8,8,Plastic,Glass back,False,True,1060
Apple-7658,Apple,6.7,IPS LCD,Ion-strengthened glass,128,UFS 3.1,6,LPDDR4X,A17 Pro,5500,12,12.0,16,20,8,Metallic,Polycarbonate back,False,True,700
Xiaomi-3288,Xiaomi,6.5,OLED,Ion-strengthened glass,1024,eMMC 5.1,6,LPDDR5,A17 Pro,6000,8,,64,20,12,Polycarbonate,Polycarbonate back,True,True,540
Apple-1804,Apple,5.4,Liquid Retina,Scratch-resistant glass,128,UFS 3.1,12,LPDDR5,A14 Bionic,5000,20,16.0,48,8,5,Metallic,Leather back,False,False,1381
OnePlus-8958,OnePlus,6.5,Liquid Retina,Ceramic Shield,512,eMMC 5.1,6,LPDDR4X,A17 Pro,4000,8,12.0,64,12,5,Metallic,Glass back,False,True,966
Xiaomi-5516,Xiaomi,6.1,OLED,Ceramic Shield,512,NVMe,8,LPDDR4X,A14 Bionic,4000,16,12.0,64,12,2,Polycarbonate,Glass back,False,True,326
Samsung-3486,Samsung,6.7,IPS LCD,Ion-strengthened glass,64,UFS 3.1,4,LPDDR5,A14 Bionic,5500,12,,108,20,2,Plastic,Plastic,True,False,718
Xiaomi-1046,Xiaomi,6.5,Liquid Retina,Gorilla Glass,128,eMMC 5.1,6,LPDDR4X,A13 Bionic,4500,8,16.0,108,12,5,Metallic,Leather back,True,True,689
Samsung-4696,Samsung,6.5,Liquid Retina,Ceramic Shield,128,eMMC 5.1,4,LPDDR5,A16 Bionic,4500,8,16.0,48,20,5,Glass,Glass back,True,False,1578
Xiaomi-8773,Xiaomi,6.5,Super Retina XDR,Gorilla Glass,1024,eMMC 5.1,8,LPDDR4X,A13 Bionic,5500,12,,16,8,8,Metallic,Plastic,False,True,379
OnePlus-4225,OnePlus,5.4,IPS LCD,Ceramic Shield,256,NVMe,8,LPDDR5,A13 Bionic,6000,20,8.0,16,12,8,Plastic,Leather back,True,True,527
Samsung-4155,Samsung,6.7,Liquid Retina,Gorilla Glass,512,eMMC 5.1,6,LPDDR5,A13 Bionic,5000,20,,108,20,2,Glass,Polycarbonate back,True,False,700
Samsung-7014,Samsung,7.0,IPS LCD,Ceramic Shield,512,eMMC 5.1,6,LPDDR4X,A15 Bionic,4500,12,12.0,48,16,5,Glass,Plastic,True,False,1617
Xiaomi-3129,Xiaomi,6.7,Super Retina XDR,Ion-strengthened glass,64,NVMe,12,LPDDR5,A14 Bionic,5000,8,12.0,108,12,8,Polycarbonate,Plastic,True,True,893
Samsung-9567,Samsung,6.5,OLED,Gorilla Glass,64,eMMC 5.1,6,LPDDR4X,A15 Bionic,5500,20,8.0,108,16,8,Metallic,Polycarbonate back,True,False,785
Xiaomi-8434,Xiaomi,6.1,OLED,Ion-strengthened glass,512,UFS 3.1,12,LPDDR5,A17 Pro,5500,16,8.0,48,8,12,Metallic,Glass back,False,False,287
Samsung-6912,Samsung,6.1,OLED,Scratch-resistant glass,64,UFS 3.1,12,LPDDR5,A16 Bionic,5500,12,8.0,64,12,12,Metallic,Plastic,False,True,1489
OnePlus-9659,OnePlus,5.4,IPS LCD,Ceramic Shield,1024,UFS 3.1,4,LPDDR5,A17 Pro,6000,12,12.0,16,20,8,Plastic,Plastic,True,True,1166
Google-3919,Google,7.0,IPS LCD,Scratch-resistant glass,64,eMMC 5.1,4,LPDDR5,A16 Bionic,4000,8,,108,16,8,Metallic,Plastic,True,False,1157
Google-4466,Google,5.4,Liquid Retina,Gorilla Glass,512,UFS 3.1,12,LPDDR4X,A16 Bionic,6000,8,12.0,64,20,12,Plastic,Glass back,False,True,811
Xiaomi-4615,Xiaomi,6.1,Liquid Retina,Ion-strengthened glass,512,UFS 3.1,4,LPDDR5,A15 Bionic,5000,16,,16,8,5,Polycarbonate,Plastic,True,True,903
Apple-7359,Apple,6.5,OLED,Ceramic Shield,64,eMMC 5.1,4,LPDDR5,A14 Bionic,4000,16,12.0,48,20,2,Polycarbonate,Plastic,False,True,1757
OnePlus-8538,OnePlus,6.5,OLED,Scratch-resistant glass,256,eMMC 5.1,12,LPDDR4X,A17 Pro,5500,16,8.0,64,8,2,Polycarbonate,Polycarbonate back,False,False,909
Apple-6612,Apple,6.1,OLED,Ion-strengthened glass,1024,UFS 3.1,8,LPDDR4X,A13 Bionic,5000,16,8.0,48,16,12,Glass,Plastic,True,True,750
Xiaomi-2914,Xiaomi,6.7,IPS LCD,Ceramic Shield,256,NVMe,4,LPDDR5,A15 Bionic,5500,16,16.0,16,20,8,Polycarbonate,Leather back,False,True,234
Xiaomi-7100,Xiaomi,5.4,IPS LCD,Ion-strengthened glass,64,NVMe,8,LPDDR4X,A17 Pro,4500,8,16.0,16,20,12,Plastic,Leather back,True,True,687
Samsung-5692,Samsung,6.7,IPS LCD,Ion-strengthened glass,64,UFS 3.1,8,LPDDR4X,A16 Bionic,4000,12,,16,8,5,Plastic,Polycarbonate back,True,False,1320
Samsung-3582,Samsung,6.7,OLED,Ceramic Shield,512,UFS 3.1,6,LPDDR5,A16 Bionic,4500,12,8.0,64,16,5,Polycarbonate,Glass back,False,False,1392
OnePlus-7002,OnePlus,7.0,OLED,Scratch-resistant glass,512,UFS 3.1,6,LPDDR4X,A17 Pro,5500,16,,108,8,2,Plastic,Glass back,True,False,921
Samsung-6712,Samsung,6.1,Super Retina XDR,Gorilla Glass,256,UFS 3.1,8,LPDDR5,A15 Bionic,5500,8,8.0,64,8,2,Plastic,Plastic,True,True,545
Apple-9941,Apple,5.4,Liquid Retina,Scratch-resistant glass,512,UFS 3.1,12,LPDDR4X,A13 Bionic,5000,12,12.0,64,20,5,Glass,Polycarbonate back,True,True,1721
OnePlus-6766,OnePlus,7.0,OLED,Ceramic Shield,512,UFS 3.1,6,LPDDR4X,A15 Bionic,4000,16,12.0,64,16,12,Polycarbonate,Plastic,True,True,435
Apple-5693,Apple,6.1,Liquid Retina,Ceramic Shield,128,eMMC 5.1,4,LPDDR4X,A16 Bionic,4000,20,,64,12,5,Glass,Glass back,False,True,1344
OnePlus-9317,OnePlus,6.5,Liquid Retina,Scratch-resistant glass,512,eMMC 5.1,6,LPDDR4X,A14 Bionic,5500,8,12.0,108,20,5,Plastic,Glass back,False,False,837
Samsung-1758,Samsung,6.5,IPS LCD,Scratch-resistant glass,1024,UFS 3.1,8,LPDDR5,A15 Bionic,4000,8,12.0,64,20,2,Polycarbonate,Polycarbonate back,False,False,899
Samsung-8954,Samsung,6.5,IPS LCD,Scratch-resistant glass,128,NVMe,12,LPDDR4X,A14 Bionic,4500,16,16.0,64,8,8,Metallic,Polycarbonate back,True,False,981
Google-6003,Google,6.5,IPS LCD,Gorilla Glass,512,eMMC 5.1,4,LPDDR4X,A17 Pro,5000,8,,48,20,8,Plastic,Polycarbonate back,False,False,942
Apple-4246,Apple,6.1,IPS LCD,Scratch-resistant glass,512,eMMC 5.1,4,LPDDR4X,A16 Bionic,5500,12,8.0,16,12,8,Plastic,Glass back,True,False,1346
Xiaomi-5118,Xiaomi,6.1,OLED,Scratch-resistant glass,128,UFS 3.1,6,LPDDR4X,A16 Bionic,5000,12,12.0,48,20,12,Glass,Polycarbonate back,True,False,520
Apple-4850,Apple,7.0,Super Retina XDR,Gorilla Glass,128,UFS 3.1,8,LPDDR5,A15 Bionic,4000,12,8.0,12,8,5,Plastic,Leather back,True,True,963
Google-5082,Google,6.7,OLED,Gorilla Glass,128,eMMC 5.1,8,LPDDR4X,A16 Bionic,5500,16,8.0,48,8,12,Polycarbonate,Glass back,True,True,1244
Xiaomi-8067,Xiaomi,5.4,OLED,Scratch-resistant glass,128,NVMe,8,LPDDR4X,A15 Bionic,5000,8,12.0,48,16,5,Glass,Glass back,False,False,564
Google-8021,Google,6.1,Liquid Retina,Scratch-resistant glass,1024,eMMC 5.1,6,LPDDR4X,A17 Pro,6000,20,12.0,48,16,12,Polycarbonate,Plastic,True,True,710
Google-6145,Google,7.0,IPS LCD,Scratch-resistant glass,256,eMMC 5.1,6,LPDDR4X,A15 Bionic,5000,12,16.0,64,16,12,Polycarbonate,Plastic,False,True,1340
OnePlus-9418,OnePlus,6.7,Super Retina XDR,Gorilla Glass,256,UFS 3.1,6,LPDDR4X,A17 Pro,6000,12,12.0,16,12,12,Glass,Glass back,False,False,731
Xiaomi-9476,Xiaomi,6.7,Super Retina XDR,Ion-strengthened glass,128,eMMC 5.1,12,LPDDR4X,A16 Bionic,5500,16,,48,16,12,Glass,Glass back,True,True,527
Xiaomi-4518,Xiaomi,5.4,IPS LCD,Ceramic Shield,256,eMMC 5.1,4,LPDDR5,A13 Bionic,5000,12,,16,20,8,Polycarbonate,Plastic,False,True,311
Apple-5107,Apple,6.5,Super Retina XDR,Scratch-resistant glass,512,NVMe,12,LPDDR4X,A15 Bionic,5500,20,16.0,64,8,5,Glass,Glass back,False,False,1273
Apple-9948,Apple,6.1,OLED,Scratch-resistant glass,128,UFS 3.1,8,LPDDR5,A15 Bionic,5500,20,8.0,64,16,8,Polycarbonate,Leather back,False,False,1264
Google-3418,Google,5.4,IPS LCD,Ceramic Shield,256,eMMC 5.1,6,LPDDR4X,A14 Bionic,5000,8,,12,16,12,Plastic,Glass back,False,False,1411
Apple-3616,Apple,6.5,Liquid Retina,Ceramic Shield,256,UFS 3.1,12,LPDDR4X,A16 Bionic,5000,20,8.0,108,20,2,Metallic,Polycarbonate back,True,False,1083
Apple-8762,Apple,5.4,OLED,Gorilla Glass,128,UFS 3.1,8,LPDDR5,A16 Bionic,4000,8,8.0,108,8,12,Plastic,Glass back,True,True,1664
OnePlus-5478,OnePlus,6.7,IPS LCD,Scratch-resistant glass,1024,UFS 3.1,8,LPDDR4X,A17 Pro,4500,16,16.0,48,16,2,Polycarbonate,Leather back,True,False,1043
Google-7085,Google,6.1,Super Retina XDR,Ion-strengthened glass,256,NVMe,12,LPDDR5,A17 Pro,5500,20,16.0,48,12,8,Polycarbonate,Polycarbonate back,False,True,706
Samsung-6871,Samsung,6.7,Super Retina XDR,Ceramic Shield,512,UFS 3.1,8,LPDDR5,A17 Pro,4500,16,8.0,16,16,8,Glass,Leather back,False,False,1451
Samsung-1052,Samsung,6.5,OLED,Ion-strengthened glass,64,UFS 3.1,6,LPDDR4X,A15 Bionic,5000,20,8.0,16,20,5,Glass,Leather back,False,False,706
Samsung-2606,Samsung,7.0,Liquid Retina,Ceramic Shield,1024,eMMC 5.1,8,LPDDR5,A14 Bionic,5500,12,,64,20,8,Metallic,Leather back,True,True,936
Apple-2330,Apple,6.1,Super Retina XDR,Gorilla Glass,128,eMMC 5.1,8,LPDDR5,A17 Pro,6000,8,16.0,48,12,8,Metallic,Plastic,False,True,820
Google-2552,Google,6.7,Liquid Retina,Gorilla Glass,128,eMMC 5.1,12,LPDDR5,A16 Bionic,4500,16,16.0,48,20,2,Polycarbonate,Polycarbonate back,False,True,1200
Apple-1399,Apple,5.4,IPS LCD,Scratch-resistant glass,512,UFS 3.1,12,LPDDR4X,A13 Bionic,4000,8,16.0,108,8,8,Glass,Glass back,False,False,1640
Apple-1708,Apple,7.0,OLED,Ceramic Shield,1024,UFS 3.1,4,LPDDR5,A15 Bionic,4500,12,12.0,12,20,8,Glass,Plastic,False,True,972
Samsung-8891,Samsung,6.1,IPS LCD,Scratch-resistant glass,256,UFS 3.1,12,LPDDR4X,A17 Pro,4500,20,,12,12,8,Metallic,Polycarbonate back,True,True,1261
Samsung-3249,Samsung,7.0,OLED,Gorilla Glass,1024,UFS 3.1,6,LPDDR4X,A15 Bionic,5000,16,12.0,48,12,8,Polycarbonate,Glass back,True,False,1259
Xiaomi-1671,Xiaomi,6.5,Liquid Retina,Scratch-resistant glass,512,UFS 3.1,8,LPDDR4X,A14 Bionic,5000,20,16.0,64,20,8,Metallic,Polycarbonate back,True,False,775
Google-3614,Google,5.4,OLED,Scratch-resistant glass,128,NVMe,12,LPDDR5,A14 Bionic,6000,12,,12,20,8,Glass,Leather back,True,False,1392
Apple-6358,Apple,6.5,IPS LCD,Ion-strengthened glass,128,eMMC 5.1,4,LPDDR5,A16 Bionic,4500,20,8.0,16,16,12,Polycarbonate,Leather back,False,True,1300
OnePlus-5953,OnePlus,6.1,OLED,Scratch-resistant glass,256,NVMe,4,LPDDR5,A17 Pro,4000,8,12.0,12,20,5,Polycarbonate,Leather back,True,False,904
Google-8238,Google,6.1,IPS LCD,Gorilla Glass,256,NVMe,4,LPDDR5,A15 Bionic,4500,20,,48,16,5,Plastic,Polycarbonate back,False,True,959
Apple-1676,Apple,6.1,IPS LCD,Gorilla Glass,256,eMMC 5.1,8,LPDDR4X,A14 Bionic,4000,8,12.0,64,8,8,Plastic,Glass back,True,True,1664
Apple-2307,Apple,6.5,Liquid Retina,Scratch-resistant glass,1024,UFS 3.1,4,LPDDR4X,A16 Bionic,5500,12,8.0,48,8,5,Metallic,Leather back,True,False,983
Google-7150,Google,5.4,IPS LCD,Scratch-resistant glass,128,UFS 3.1,12,LPDDR4X,A14 Bionic,5500,16,,64,16,2,Polycarbonate,Polycarbonate back,False,True,614
Xiaomi-8575,Xiaomi,7.0,IPS LCD,Gorilla Glass,64,NVMe,6,LPDDR4X,A17 Pro,4500,20,8.0,12,12,12,Glass,Polycarbonate back,True,True,959
OnePlus-4798,OnePlus,6.1,OLED,Ion-strengthened glass,64,NVMe,4,LPDDR4X,A14 Bionic,6000,12,,64,8,5,Glass,Plastic,True,False,635
OnePlus-4546,OnePlus,5.4,Super Retina XDR,Ion-strengthened glass,512,eMMC 5.1,4,LPDDR4X,A16 Bionic,5500,8,,108,20,5,Glass,Polycarbonate back,True,True,793
Google-2977,Google,6.1,Super Retina XDR,Gorilla Glass,128,NVMe,12,LPDDR4X,A13 Bionic,4000,8,12.0,12,12,2,Glass,Plastic,False,True,994
Apple-5946,Apple,6.7,OLED,Gorilla Glass,64,eMMC 5.1,4,LPDDR4X,A13 Bionic,4000,16,,108,20,12,Polycarbonate,Plastic,False,True,907
Apple-7481,Apple,6.1,IPS LCD,Gorilla Glass,1024,eMMC 5.1,12,LPDDR4X,A16 Bionic,5500,16,16.0,48,16,8,Plastic,Leather back,False,False,979
Apple-4718,Apple,5.4,OLED,Gorilla Glass,128,UFS 3.1,12,LPDDR4X,A15 Bionic,5500,8,8.0,16,20,5,Metallic,Plastic,False,True,710
Apple-7624,Apple,7.0,IPS LCD,Gorilla Glass,256,UFS 3.1,4,LPDDR4X,A17 Pro,6000,20,12.0,64,12,2,Plastic,Plastic,False,True,1980
OnePlus-6908,OnePlus,6.5,IPS LCD,Scratch-resistant glass,256,eMMC 5.1,6,LPDDR4X,A14 Bionic,4000,16,8.0,108,8,2,Plastic,Plastic,True,False,1032
Apple-8141,Apple,6.7,Liquid Retina,Scratch-resistant glass,512,UFS 3.1,4,LPDDR5,A16 Bionic,5500,16,8.0,12,8,2,Glass,Polycarbonate back,True,False,933
OnePlus-7640,OnePlus,6.5,Super Retina XDR,Ion-strengthened glass,64,NVMe,6,LPDDR4X,A15 Bionic,4000,8,,64,16,12,Plastic,Plastic,False,True,734
Google-9068,Google,6.1,Super Retina XDR,Ceramic Shield,64,NVMe,4,LPDDR5,A14 Bionic,4500,16,8.0,64,12,8,Plastic,Glass back,False,True,613
OnePlus-3087,OnePlus,7.0,OLED,Scratch-resistant glass,128,eMMC 5.1,8,LPDDR5,A17 Pro,6000,20,,48,12,12,Glass,Glass back,True,True,994
OnePlus-3887,OnePlus,6.5,Liquid Retina,Gorilla Glass,256,UFS 3.1,12,LPDDR5,A16 Bionic,5500,16,,12,16,2,Glass,Glass back,False,False,518
Xiaomi-3213,Xiaomi,5.4,IPS LCD,Scratch-resistant glass,1024,NVMe,8,LPDDR4X,A14 Bionic,5000,8,8.0,16,8,8,Glass,Polycarbonate back,True,False,240
Xiaomi-1945,Xiaomi,6.7,Super Retina XDR,Scratch-resistant glass,64,eMMC 5.1,12,LPDDR4X,A16 Bionic,5500,16,16.0,12,8,2,Polycarbonate,Glass back,True,False,883
Apple-3020,Apple,7.0,OLED,Ion-strengthened glass,256,eMMC 5.1,12,LPDDR5,A13 Bionic,4000,20,8.0,108,20,2,Glass,Polycarbonate back,True,False,819
Apple-9747,Apple,5.4,OLED,Gorilla Glass,512,eMMC 5.1,6,LPDDR4X,A14 Bionic,5500,16,12.0,48,12,12,Glass,Leather back,True,False,902
Xiaomi-5987,Xiaomi,6.5,Super Retina XDR,Scratch-resistant glass,128,NVMe,8,LPDDR5,A17 Pro,4500,16,,64,12,5,Glass,Polycarbonate back,False,False,302
Xiaomi-3003,Xiaomi,7.0,IPS LCD,Ion-strengthened glass,128,eMMC 5.1,8,LPDDR4X,A13 Bionic,4500,20,16.0,16,16,2,Glass,Leather back,True,False,637
Apple-4390,Apple,7.0,Liquid Retina,Ceramic Shield,1024,UFS 3.1,4,LPDDR4X,A16 Bionic,5000,16,,64,16,2,Plastic,Leather back,False,False,1589
Samsung-5353,Samsung,6.5,Super Retina XDR,Ceramic Shield,512,eMMC 5.1,8,LPDDR4X,A15 Bionic,4000,8,12.0,64,16,12,Metallic,Polycarbonate back,False,False,896
Apple-7534,Apple,5.4,Super Retina XDR,Ion-strengthened glass,64,eMMC 5.1,6,LPDDR4X,A17 Pro,4000,16,12.0,48,16,5,Polycarbonate,Glass back,False,True,1247
Samsung-7220,Samsung,7.0,IPS LCD,Scratch-resistant glass,64,eMMC 5.1,6,LPDDR5,A14 Bionic,4000,12,16.0,64,20,8,Metallic,Plastic,True,False,1027
Xiaomi-5300,Xiaomi,5.4,Liquid Retina,Ion-strengthened glass,128,NVMe,4,LPDDR5,A16 Bionic,5000,16,,64,12,12,Metallic,Plastic,True,False,971
Xiaomi-9052,Xiaomi,6.7,Liquid Retina,Gorilla Glass,1024,UFS 3.1,8,LPDDR5,A13 Bionic,4000,8,16.0,12,16,5,Plastic,Plastic,False,False,398
Xiaomi-3046,Xiaomi,7.0,Liquid Retina,Scratch-resistant glass,512,eMMC 5.1,6,LPDDR4X,A17 Pro,6000,16,12.0,12,12,5,Metallic,Polycarbonate back,True,True,398
Xiaomi-5616,Xiaomi,6.7,OLED,Gorilla Glass,256,eMMC 5.1,8,LPDDR5,A14 Bionic,5000,8,8.0,12,20,5,Metallic,Leather back,False,True,654
Samsung-9310,Samsung,6.1,Liquid Retina,Ceramic Shield,512,eMMC 5.1,4,LPDDR5,A15 Bionic,6000,16,,48,20,12,Plastic,Plastic,False,True,640
OnePlus-7081,OnePlus,6.1,IPS LCD,Gorilla Glass,256,eMMC 5.1,6,LPDDR4X,A15 Bionic,5000,20,8.0,64,16,8,Polycarbonate,Glass back,False,True,988
OnePlus-9536,OnePlus,6.1,IPS LCD,Gorilla Glass,512,UFS 3.1,4,LPDDR4X,A15 Bionic,4500,8,16.0,16,8,5,Metallic,Plastic,True,True,753
Xiaomi-7961,Xiaomi,5.4,OLED,Ion-strengthened glass,64,UFS 3.1,12,LPDDR4X,A17 Pro,5500,8,16.0,108,12,8,Plastic,Polycarbonate back,False,True,373
Apple-3973,Apple,6.1,Super Retina XDR,Gorilla Glass,1024,eMMC 5.1,6,LPDDR4X,A15 Bionic,6000,12,,64,20,12,Glass,Polycarbonate back,False,False,971
Samsung-7889,Samsung,7.0,OLED,Ceramic Shield,1024,eMMC 5.1,4,LPDDR5,A15 Bionic,5000,8,,12,12,8,Polycarbonate,Plastic,True,False,1262
Xiaomi-4216,Xiaomi,6.1,OLED,Ion-strengthened glass,512,eMMC 5.1,12,LPDDR4X,A14 Bionic,4000,16,8.0,16,20,5,Glass,Polycarbonate back,False,False,922
Xiaomi-5336,Xiaomi,6.7,Liquid Retina,Ceramic Shield,64,NVMe,8,LPDDR5,A17 Pro,4500,20,,12,16,5,Polycarbonate,Leather back,False,True,845
Apple-9663,Apple,7.0,OLED,Ceramic Shield,512,eMMC 5.1,4,LPDDR4X,A17 Pro,5000,12,,64,16,8,Metallic,Leather back,True,False,784
OnePlus-1583,OnePlus,6.7,IPS LCD,Ceramic Shield,64,UFS 3.1,6,LPDDR4X,A13 Bionic,6000,20,,108,16,8,Polycarbonate,Glass back,False,False,569
OnePlus-9402,OnePlus,6.7,IPS LCD,Scratch-resistant glass,128,UFS 3.1,12,LPDDR5,A13 Bionic,5500,12,16.0,64,8,2,Glass,Plastic,False,True,584
Google-6424,Google,6.7,IPS LCD,Ceramic Shield,256,eMMC 5.1,8,LPDDR4X,A15 Bionic,4000,12,8.0,12,8,12,Glass,Plastic,True,True,1332
Apple-2303,Apple,7.0,IPS LCD,Gorilla Glass,128,UFS 3.1,6,LPDDR5,A15 Bionic,6000,16,12.0,64,20,12,Glass,Polycarbonate back,False,False,1887
Samsung-9811,Samsung,5.4,IPS LCD,Ceramic Shield,256,UFS 3.1,6,LPDDR5,A14 Bionic,6000,12,16.0,16,12,2,Plastic,Glass back,False,False,1019
Apple-7058,Apple,6.5,Super Retina XDR,Ion-strengthened glass,128,eMMC 5.1,12,LPDDR4X,A15 Bionic,5000,20,8.0,12,8,8,Plastic,Leather back,False,True,1130
Apple-8532,Apple,5.4,Super Retina XDR,Ion-strengthened glass,64,NVMe,4,LPDDR5,A16 Bionic,5000,8,8.0,108,8,2,Polycarbonate,Polycarbonate back,False,False,1072
Xiaomi-5706,Xiaomi,6.1,Super Retina XDR,Gorilla Glass,128,eMMC 5.1,6,LPDDR5,A16 Bionic,5500,20,12.0,48,12,12,Glass,Polycarbonate back,False,False,565
Samsung-7645,Samsung,6.7,Liquid Retina,Ion-strengthened glass,128,UFS 3.1,4,LPDDR4X,A16 Bionic,6000,8,8.0,16,8,2,Plastic,Glass back,False,False,728
Google-5086,Google,7.0,OLED,Gorilla Glass,64,UFS 3.1,6,LPDDR4X,A13 Bionic,6000,12,,108,12,2,Metallic,Polycarbonate back,False,False,1036
Samsung-1627,Samsung,6.7,Super Retina XDR,Ion-strengthened glass,1024,UFS 3.1,4,LPDDR5,A14 Bionic,4500,16,8.0,16,20,12,Polycarbonate,Glass back,False,True,1458
